28
0 0 0 0 1 0 0 5 0 13 0 5 0 
0 0 0 1 0 0 0 10 0 12 0 16 0 
0 0 0 2 0 0 0 15 0 14 0 2 0 
0 0 0 3 1 0 0 20 0 14 0 0 0 
0 0 0 4 0 0 0 25 0 11 0 16 0 
0 0 0 5 2 0 0 30 0 8 0 3 0 
0 0 0 6 0 0 0 35 0 15 0 11 0 
0 0 0 7 2 0 0 40 0 2 0 6 0 
0 0 0 8 1 0 0 45 0 13 0 3 0 
0 0 0 9 0 0 0 50 0 3 0 13 0 
0 0 0 10 2 0 0 55 0 15 0 12 0 
0 0 0 11 2 0 0 60 0 2 0 12 0 
0 0 0 12 0 0 0 65 0 7 0 15 0 
0 0 0 13 2 0 0 70 0 1 0 14 0 
0 0 0 14 0 0 0 75 0 16 0 4 0 
0 0 0 15 2 0 0 80 0 8 0 7 0 
0 0 0 16 1 0 0 85 0 11 0 14 0 
0 0 0 17 1 0 0 90 0 3 0 12 0 
0 0 0 18 1 0 0 95 0 6 0 8 0 
0 0 0 19 2 0 0 100 0 5 0 7 0 
0 0 0 20 2 0 0 105 0 9 0 6 0 
0 0 0 21 0 0 0 110 0 8 0 13 0 
0 0 0 22 2 0 0 115 0 19 0 11 0 
0 0 0 23 1 0 0 120 0 8 0 7 0 
0 0 0 24 1 0 0 125 0 11 0 6 0 
0 0 0 25 0 0 0 130 0 11 0 11 0 
0 0 0 26 2 0 0 135 0 13 0 7 0 
0 0 0 27 1 0 0 140 0 17 0 7 0 
0 0 0 28 1 0 0 145 0 12 0 16 0 
0 0 0 29 0 0 0 150 0 0 0 8 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 10000 
0 2 1 0 1 0 0 5 1 13 0 5 0 
0 0 0 1 0 0 0 17 0 15 0 15 0 
1 2 1 2 0 0 0 15 1 14 0 2 0 
0 0 0 3 1 176 0 20 1 14 0 0 0 
0 0 0 4 0 64 0 25 1 11 0 16 0 
0 0 0 5 2 0 0 30 0 8 0 3 0 
0 0 0 6 0 0 0 35 0 15 0 11 0 
0 0 0 7 2 0 0 40 0 2 0 6 0 
0 0 0 8 1 0 0 45 0 13 0 3 0 
0 0 0 9 0 0 0 50 0 3 0 13 0 
0 0 0 10 2 0 0 55 0 15 0 12 0 
0 0 0 11 2 0 0 60 0 2 0 12 0 
0 0 0 12 0 0 0 65 0 7 0 15 0 
0 0 0 13 2 0 0 70 0 1 0 14 0 
