27
0 0 0 0 2 0 0 5 0 19 0 6 0 
0 0 0 1 2 0 0 10 0 17 0 0 0 
0 0 0 2 0 0 0 15 0 2 0 12 0 
0 0 0 3 2 0 0 20 0 5 0 14 0 
0 0 0 4 0 0 0 25 0 6 0 1 0 
0 0 0 5 0 0 0 30 0 3 0 3 0 
0 0 0 6 2 0 0 35 0 15 0 10 0 
0 0 0 7 0 0 0 40 0 2 0 7 0 
0 0 0 8 0 0 0 45 0 17 0 10 0 
0 0 0 9 0 0 0 50 0 15 0 11 0 
0 0 0 10 1 0 0 55 0 21 0 4 0 
0 0 0 11 2 0 0 60 0 16 0 9 0 
0 0 0 12 1 0 0 65 0 18 0 1 0 
0 0 0 13 1 0 0 70 0 9 0 4 0 
0 0 0 14 2 0 0 75 0 0 0 5 0 
0 0 0 15 2 0 0 80 0 8 0 11 0 
0 0 0 16 0 0 0 85 0 15 0 9 0 
0 0 0 17 0 0 0 90 0 11 0 0 0 
0 0 0 18 1 0 0 95 0 11 0 4 0 
0 0 0 19 0 0 0 100 0 14 0 12 0 
0 0 0 20 0 0 0 105 0 4 0 14 0 
0 0 0 21 0 0 0 110 0 13 0 4 0 
0 0 0 22 2 0 0 115 0 19 0 2 0 
0 0 0 23 0 0 0 120 0 2 0 3 0 
0 0 0 24 2 0 0 125 0 3 0 3 0 
0 0 0 25 2 0 0 130 0 7 0 12 0 
0 0 0 26 2 0 0 135 0 6 0 7 0 
0 0 0 27 1 0 0 140 0 2 0 12 0 
0 0 0 28 2 0 0 145 0 0 0 4 0 
0 0 0 29 2 0 0 150 0 17 0 5 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 10000 
0 2 1 0 2 0 0 5 1 19 0 6 0 
0 0 0 1 2 157 0 10 1 17 0 0 0 
0 0 0 2 0 179 0 15 1 2 0 12 0 
0 0 0 3 2 0 0 20 0 5 0 14 0 
0 0 0 4 0 0 0 25 0 6 0 1 0 
0 0 0 5 0 0 0 30 0 3 0 3 0 
0 0 0 6 2 0 0 35 0 15 0 10 0 
0 0 0 7 0 0 0 40 0 2 0 7 0 
0 0 0 8 0 0 0 45 0 17 0 10 0 
0 0 0 9 0 0 0 50 0 15 0 11 0 
0 0 0 10 1 0 0 55 0 21 0 4 0 
0 0 0 11 2 0 0 60 0 16 0 9 0 
0 0 0 12 1 0 0 65 0 18 0 1 0 
0 0 0 13 1 0 0 70 0 9 0 4 0 
0 0 0 14 2 0 0 75 0 0 0 5 0 
0 0 0 15 2 0 0 80 0 8 0 11 0 
0 0 0 16 0 0 0 85 0 15 0 9 0 
0 0 0 17 0 0 0 90 0 11 0 0 0 
0 0 0 18 1 0 0 95 0 11 0 4 0 
0 0 0 19 0 0 0 100 0 14 0 12 0 
0 0 0 20 0 0 0 105 0 4 0 14 0 
0 0 0 21 0 0 0 110 0 13 0 4 0 
0 0 0 22 2 0 0 115 0 19 0 2 0 
0 0 0 23 0 0 0 120 0 2 0 3 0 
0 0 0 24 2 0 0 125 0 3 0 3 0 
0 0 0 25 2 0 0 130 0 7 0 12 0 
0 0 0 26 2 0 0 135 0 6 0 7 0 
0 0 0 27 1 0 0 140 0 2 0 12 0 
0 0 0 28 2 0 0 145 0 0 0 4 0 
0 0 0 29 2 0 0 150 0 17 0 5 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 9316 
1 2 1 0 2 0 0 5 1 19 0 6 0 
1 2 1 1 2 0 0 10 1 17 0 0 0 
0 1 0 2 0 75 0 15 1 2 0 12 0 
0 0 0 3 2 88 0 20 1 5 0 14 0 
0 0 0 4 0 0 0 25 0 6 0 1 0 
0 0 0 5 0 0 0 30 0 3 0 3 0 
0 0 0 6 2 0 0 35 0 15 0 10 0 
0 0 0 7 0 0 0 40 0 2 0 7 0 
0 0 0 8 0 0 0 45 0 17 0 10 0 
0 0 0 9 0 0 0 50 0 15 0 11 0 
0 0 0 10 1 0 0 55 0 21 0 4 0 
0 0 0 11 2 0 0 60 0 16 0 9 0 
0 0 0 12 1 0 0 65 0 18 0 1 0 
0 0 0 13 1 0 0 70 0 9 0 4 0 
0 0 0 14 2 0 0 75 0 0 0 5 0 
0 0 0 15 2 0 0 80 0 8 0 11 0 
0 0 0 16 0 0 0 85 0 15 0 9 0 
0 0 0 17 0 0 0 90 0 11 0 0 0 
0 0 0 18 1 0 0 95 0 11 0 4 0 
0 0 0 19 0 0 0 100 0 14 0 12 0 
0 0 0 20 0 0 0 105 0 4 0 14 0 
0 0 0 21 0 0 0 110 0 13 0 4 0 
0 0 0 22 2 0 0 115 0 19 0 2 0 
0 0 0 23 0 0 0 120 0 2 0 3 0 
0 0 0 24 2 0 0 125 0 3 0 3 0 
0 0 0 25 2 0 0 130 0 7 0 12 0 
0 0 0 26 2 0 0 135 0 6 0 7 0 
0 0 0 27 1 0 0 140 0 2 0 12 0 
0 0 0 28 2 0 0 145 0 0 0 4 0 
0 0 0 29 2 0 0 150 0 17 0 5 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1 1 0 0 8525 
1 2 1 0 2 0 0 5 1 19 0 6 0 
0 0 0 1 2 0 0 19 0 17 0 14 0 
1 2 1 2 0 0 0 15 1 2 0 12 0 
0 0 0 3 2 57 0 20 1 5 0 14 0 
0 0 0 4 0 200 0 25 1 6 0 1 0 
0 0 0 5 0 0 0 30 0 3 0 3 0 
0 0 0 6 2 0 0 35 0 15 0 10 0 
0 0 0 7 0 0 0 40 0 2 0 7 0 
0 0 0 8 0 0 0 45 0 17 0 10 0 
0 0 0 9 0 0 0 50 0 15 0 11 0 
0 0 0 10 1 0 0 55 0 21 0 4 0 
0 0 0 11 2 0 0 60 0 16 0 9 0 
0 0 0 12 1 0 0 65 0 18 0 1 0 
0 0 0 13 1 0 0 70 0 9 0 4 0 
0 0 0 14 2 0 0 75 0 0 0 5 0 
0 0 0 15 2 0 0 80 0 8 0 11 0 
0 0 0 16 0 0 0 85 0 15 0 9 0 
0 0 0 17 0 0 0 90 0 11 0 0 0 
0 0 0 18 1 0 0 95 0 11 0 4 0 
0 0 0 19 0 0 0 100 0 14 0 12 0 
0 0 0 20 0 0 0 105 0 4 0 14 0 
0 0 0 21 0 0 0 110 0 13 0 4 0 
0 0 0 22 2 0 0 115 0 19 0 2 0 
0 0 0 23 0 0 0 120 0 2 0 3 0 
0 0 0 24 2 0 0 125 0 3 0 3 0 
0 0 0 25 2 0 0 130 0 7 0 12 0 
0 0 0 26 2 0 0 135 0 6 0 7 0 
0 0 0 27 1 0 0 140 0 2 0 12 0 
0 0 0 28 2 0 0 145 0 0 0 4 0 
0 0 0 29 2 0 0 150 0 17 0 5 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1 0 1 0 8295 
1 2 1 0 2 0 0 5 1 19 0 6 0 
0 2 1 1 2 0 0 19 1 17 0 14 0 
1 2 1 2 0 0 0 15 1 2 0 12 0 
0 1 0 3 2 85 0 20 1 5 0 14 0 
0 0 0 4 0 219 0 25 1 6 0 1 0 
0 0 0 5 0 0 0 30 0 3 0 3 0 
0 0 0 6 2 0 0 35 0 15 0 10 0 
0 0 0 7 0 0 0 40 0 2 0 7 0 
0 0 0 8 0 0 0 45 0 17 0 10 0 
0 0 0 9 0 0 0 50 0 15 0 11 0 
0 0 0 10 1 0 0 55 0 21 0 4 0 
0 0 0 11 2 0 0 60 0 16 0 9 0 
0 0 0 12 1 0 0 65 0 18 0 1 0 
0 0 0 13 1 0 0 70 0 9 0 4 0 
0 0 0 14 2 0 0 75 0 0 0 5 0 
0 0 0 15 2 0 0 80 0 8 0 11 0 
0 0 0 16 0 0 0 85 0 15 0 9 0 
0 0 0 17 0 0 0 90 0 11 0 0 0 
0 0 0 18 1 0 0 95 0 11 0 4 0 
0 0 0 19 0 0 0 100 0 14 0 12 0 
0 0 0 20 0 0 0 105 0 4 0 14 0 
