26
0 0 0 11 1 0 0 60 0 19 0 7 0 
0 0 0 12 1 0 0 65 0 10 0 11 0 
0 0 0 13 1 0 0 70 0 18 0 3 0 
0 0 0 14 2 0 0 75 0 20 0 11 0 
0 0 0 15 2 0 0 80 0 19 0 7 0 
0 0 0 16 2 0 0 85 0 19 0 14 0 
0 0 0 17 2 0 0 90 0 12 0 3 0 
0 0 0 18 1 0 0 95 0 2 0 11 0 
0 0 0 19 2 0 0 100 0 15 0 3 0 
0 0 0 20 2 0 0 105 0 20 0 5 0 
0 0 0 21 1 0 0 110 0 6 0 8 0 
0 0 0 22 1 0 0 115 0 17 0 11 0 
0 0 0 23 1 0 0 120 0 1 0 13 0 
0 0 0 24 1 0 0 125 0 18 0 14 0 
0 0 0 25 0 0 0 130 0 5 0 14 0 
0 0 0 26 1 0 0 135 0 16 0 11 0 
0 0 0 27 1 0 0 140 0 15 0 10 0 
0 0 0 28 1 0 0 145 0 15 0 4 0 
0 0 0 29 1 0 0 150 0 10 0 11 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 9876 
0 2 1 0 2 0 0 5 1 6 0 5 0 
0 0 0 1 1 0 0 16 0 6 0 14 0 
0 0 0 2 1 26 0 15 1 2 0 7 0 
0 0 0 3 0 46 0 20 1 15 0 12 0 
0 0 0 4 0 238 0 25 0 19 0 11 0 
0 0 0 5 0 0 0 30 0 2 0 11 0 
0 0 0 6 2 0 0 35 0 15 0 6 0 
0 0 0 7 2 0 0 40 0 2 0 3 0 
0 0 0 8 1 0 0 45 0 10 0 11 0 
0 0 0 9 2 0 0 50 0 15 0 9 0 
0 0 0 10 2 0 0 55 0 19 0 11 0 
0 0 0 11 1 0 0 60 0 19 0 7 0 
0 0 0 12 1 0 0 65 0 10 0 11 0 
0 0 0 13 1 0 0 70 0 18 0 3 0 
0 0 0 14 2 0 0 75 0 20 0 11 0 
0 0 0 15 2 0 0 80 0 19 0 7 0 
0 0 0 16 2 0 0 85 0 19 0 14 0 
0 0 0 17 2 0 0 90 0 12 0 3 0 
0 0 0 18 1 0 0 95 0 2 0 11 0 
0 0 0 19 2 0 0 100 0 15 0 3 0 
0 0 0 20 2 0 0 105 0 20 0 5 0 
0 0 0 21 1 0 0 110 0 6 0 8 0 
0 0 0 22 1 0 0 115 0 17 0 11 0 
0 0 0 23 1 0 0 120 0 1 0 13 0 
0 0 0 24 1 0 0 125 0 18 0 14 0 
0 0 0 25 0 0 0 130 0 5 0 14 0 
0 0 0 26 1 0 0 135 0 16 0 11 0 
0 0 0 27 1 0 0 140 0 15 0 10 0 
0 0 0 28 1 0 0 145 0 15 0 4 0 
0 0 0 29 1 0 0 150 0 10 0 11 0 
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 8690 
0 2 1 0 2 0 0 5 1 6 0 5 0 
0 0 0 1 1 43 0 16 1 6 0 14 0 
0 0 0 2 1 70 0 15 1 2 0 7 0 
0 0 0 3 0 90 0 20 1 15 0 12 0 
0 0 0 4 0 238 0 25 0 19 0 11 0 
0 0 0 5 0 0 0 30 0 2 0 11 0 
0 0 0 6 2 0 0 35 0 15 0 6 0 
0 0 0 7 2 0 0 40 0 2 0 3 0 
0 0 0 8 1 0 0 45 0 10 0 11 0 
0 0 0 9 2 0 0 50 0 15 0 9 0 
0 0 0 10 2 0 0 55 0 19 0 11 0 
0 0 0 11 1 0 0 60 0 19 0 7 0 
0 0 0 12 1 0 0 65 0 10 0 11 0 
0 0 0 13 1 0 0 70 0 18 0 3 0 
0 0 0 14 2 0 0 75 0 20 0 11 0 
0 0 0 15 2 0 0 80 0 19 0 7 0 
0 0 0 16 2 0 0 85 0 19 0 14 0 
0 0 0 17 2 0 0 90 0 12 0 3 0 
0 0 0 18 1 0 0 95 0 2 0 11 0 
0 0 0 19 2 0 0 100 0 15 0 3 0 
0 0 0 20 2 0 0 105 0 20 0 5 0 
0 0 0 21 1 0 0 110 0 6 0 8 0 
0 0 0 22 1 0 0 115 0 17 0 11 0 
0 0 0 23 1 0 0 120 0 1 0 13 0 
0 0 0 24 1 0 0 125 0 18 0 14 0 
0 0 0 25 0 0 0 130 0 5 0 14 0 
0 0 0 26 1 0 0 135 0 16 0 11 0 
0 0 0 27 1 0 0 140 0 15 0 10 0 
0 0 0 28 1 0 0 145 0 15 0 4 0 
0 0 0 29 1 0 0 150 0 10 0 11 0 
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 8646 
0 2 1 0 2 0 0 5 1 6 0 5 0 
0 2 1 1 1 0 0 16 1 6 0 14 0 
0 2 1 2 1 0 0 15 1 2 0 7 0 
0 0 0 3 0 13 0 20 1 15 0 12 0 
0 0 0 4 0 35 0 25 1 19 0 11 0 
0 0 0 5 0 0 0 30 0 2 0 11 0 
0 0 0 6 2 0 0 35 0 15 0 6 0 
0 0 0 7 2 0 0 40 0 2 0 3 0 
0 0 0 8 1 0 0 45 0 10 0 11 0 
0 0 0 9 2 0 0 50 0 15 0 9 0 
0 0 0 10 2 0 0 55 0 19 0 11 0 
0 0 0 11 1 0 0 60 0 19 0 7 0 
0 0 0 12 1 0 0 65 0 10 0 11 0 
0 0 0 13 1 0 0 70 0 18 0 3 0 
0 0 0 14 2 0 0 75 0 20 0 11 0 
0 0 0 15 2 0 0 80 0 19 0 7 0 
0 0 0 16 2 0 0 85 0 19 0 14 0 
0 0 0 17 2 0 0 90 0 12 0 3 0 
0 0 0 18 1 0 0 95 0 2 0 11 0 
0 0 0 19 2 0 0 100 0 15 0 3 0 
0 0 0 20 2 0 0 105 0 20 0 5 0 
0 0 0 21 1 0 0 110 0 6 0 8 0 
0 0 0 22 1 0 0 115 0 17 0 11 0 
0 0 0 23 1 0 0 120 0 1 0 13 0 
0 0 0 24 1 0 0 125 0 18 0 14 0 
0 0 0 25 0 0 0 130 0 5 0 14 0 
0 0 0 26 1 0 0 135 0 16 0 11 0 
0 0 0 27 1 0 0 140 0 15 0 10 0 
0 0 0 28 1 0 0 145 0 15 0 4 0 
0 0 0 29 1 0 0 150 0 10 0 11 0 
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 8341 
0 2 1 0 2 0 0 5 1 6 0 5 0 
0 2 1 1 1 0 0 16 1 6 0 14 0 
0 2 1 2 1 0 0 15 1 2 0 7 0 
0 0 0 3 0 45 0 20 1 15 0 12 0 
0 0 0 4 0 67 0 25 1 19 0 11 0 
0 0 0 5 0 0 0 30 0 2 0 11 0 
0 0 0 6 2 0 0 35 0 15 0 6 0 
0 0 0 7 2 0 0 40 0 2 0 3 0 
0 0 0 8 1 0 0 45 0 10 0 11 0 
0 0 0 9 2 0 0 50 0 15 0 9 0 
0 0 0 10 2 0 0 55 0 19 0 11 0 
0 0 0 11 1 0 0 60 0 19 0 7 0 
0 0 0 12 1 0 0 65 0 10 0 11 0 
0 0 0 13 1 0 0 70 0 18 0 3 0 
0 0 0 14 2 0 0 75 0 20 0 11 0 
0 0 0 15 2 0 0 80 0 19 0 7 0 
0 0 0 16 2 0 0 85 0 19 0 14 0 
0 0 0 17 2 0 0 90 0 12 0 3 0 
0 0 0 18 1 0 0 95 0 2 0 11 0 
0 0 0 19 2 0 0 100 0 15 0 3 0 
0 0 0 20 2 0 0 105 0 20 0 5 0 
0 0 0 21 1 0 0 110 0 6 0 8 0 
0 0 0 22 1 0 0 115 0 17 0 11 0 
0 0 0 23 1 0 0 120 0 1 0 13 0 
0 0 0 24 1 0 0 125 0 18 0 14 0 
0 0 0 25 0 0 0 130 0 5 0 14 0 
0 0 0 26 1 0 0 135 0 16 0 11 0 
0 0 0 27 1 0 0 140 0 15 0 10 0 
0 0 0 28 1 0 0 145 0 15 0 4 0 
0 0 0 29 1 0 0 150 0 10 0 11 0 
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 8307 
0 2 1 0 2 0 0 5 1 6 0 5 0 
0 2 1 1 1 0 0 16 1 6 0 14 0 
0 2 1 2 1 0 0 15 1 2 0 7 0 
0 2 1 3 0 101 0 20 0 15 0 12 0 
0 0 0 4 0 114 0 25 1 19 0 11 0 
0 0 0 5 0 0 0 30 1 2 0 11 0 
0 0 0 6 2 0 0 35 0 15 0 6 0 
0 0 0 7 2 0 0 40 0 2 0 3 0 
0 0 0 8 1 0 0 45 0 10 0 11 0 
0 0 0 9 2 0 0 50 0 15 0 9 0 
0 0 0 10 2 0 0 55 0 19 0 11 0 
0 0 0 11 1 0 0 60 0 19 0 7 0 
0 0 0 12 1 0 0 65 0 10 0 11 0 
0 0 0 13 1 0 0 70 0 18 0 3 0 
0 0 0 14 2 0 0 75 0 20 0 11 0 
0 0 0 15 2 0 0 80 0 19 0 7 0 
0 0 0 16 2 0 0 85 0 19 0 14 0 
0 0 0 17 2 0 0 90 0 12 0 3 0 
0 0 0 18 1 0 0 95 0 2 0 11 0 
0 0 0 19 2 0 0 100 0 15 0 3 0 
0 0 0 20 2 0 0 105 0 20 0 5 0 
0 0 0 21 1 0 0 110 0 6 0 8 0 
0 0 0 22 1 0 0 115 0 17 0 11 0 
0 0 0 23 1 0 0 120 0 1 0 13 0 
0 0 0 24 1 0 0 125 0 18 0 14 0 
0 0 0 25 0 0 0 130 0 5 0 14 0 
0 0 0 26 1 0 0 135 0 16 0 11 0 
0 0 0 27 1 0 0 140 0 15 0 10 0 
0 0 0 28 1 0 0 145 0 15 0 4 0 
0 0 0 29 1 0 0 150 0 10 0 11 0 
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 7999 
0 2 1 0 2 0 0 5 1 6 0 5 0 
0 2 1 1 1 0 0 16 1 6 0 14 0 
0 2 1 2 1 0 0 15 1 2 0 7 0 
0 2 1 3 0 0 0 20 1 15 0 12 0 
0 0 0 4 0 128 0 25 1 19 0 11 0 
0 0 0 5 0 14 0 30 1 2 0 11 0 
0 0 0 6 2 0 0 35 0 15 0 6 0 
0 0 0 7 2 0 0 40 0 2 0 3 0 
0 0 0 8 1 0 0 45 0 10 0 11 0 
0 0 0 9 2 0 0 50 0 15 0 9 0 
0 0 0 10 2 0 0 55 0 19 0 11 0 
0 0 0 11 1 0 0 60 0 19 0 7 0 
0 0 0 12 1 0 0 65 0 10 0 11 0 
0 0 0 13 1 0 0 70 0 18 0 3 0 
0 0 0 14 2 0 0 75 0 20 0 11 0 
0 0 0 15 2 0 0 80 0 19 0 7 0 
0 0 0 16 2 0 0 85 0 19 0 14 0 
0 0 0 17 2 0 0 90 0 12 0 3 0 
0 0 0 18 1 0 0 95 0 2 0 11 0 
0 0 0 19 2 0 0 100 0 15 0 3 0 
0 0 0 20 2 0 0 105 0 20 0 5 0 
0 0 0 21 1 0 0 110 0 6 0 8 0 
0 0 0 22 1 0 0 115 0 17 0 11 0 
0 0 0 23 1 0 0 120 0 1 0 13 0 
0 0 0 24 1 0 0 125 0 18 0 14 0 
0 0 0 25 0 0 0 130 0 5 0 14 0 
0 0 0 26 1 0 0 135 0 16 0 11 0 
0 0 0 27 1 0 0 140 0 15 0 10 0 
0 0 0 28 1 0 0 145 0 15 0 4 0 
0 0 0 29 1 0 0 150 0 10 0 11 0 
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 7985 
1 2 1 0 2 0 0 5 1 6 0 5 0 
1 2 1 1 1 0 0 16 1 10 345 14 398 
1 2 1 2 1 0 0 15 1 10 345 14 398 
1 2 1 3 0 0 0 20 1 15 0 12 0 
1 2 1 4 0 0 0 25 1 19 0 11 0 
0 1 0 5 0 75 0 30 1 2 0 11 0 
0 0 0 6 2 207 0 35 1 15 0 6 0 
0 0 0 7 2 0 0 40 0 2 0 3 0 
0 0 0 8 1 0 0 45 0 10 0 11 0 
0 0 0 9 2 0 0 50 0 15 0 9 0 
0 0 0 10 2 0 0 55 0 19 0 11 0 
0 0 0 11 1 0 0 60 0 19 0 7 0 
0 0 0 12 1 0 0 65 0 10 0 11 0 
0 0 0 13 1 0 0 70 0 18 0 3 0 
0 0 0 14 2 0 0 75 0 20 0 11 0 
0 0 0 15 2 0 0 80 0 19 0 7 0 
0 0 0 16 2 0 0 85 0 19 0 14 0 
0 0 0 17 2 0 0 90 0 12 0 3 0 
0 0 0 18 1 0 0 95 0 2 0 11 0 
0 0 0 19 2 0 0 100 0 15 0 3 0 
0 0 0 20 2 0 0 105 0 20 0 5 0 
0 0 0 21 1 0 0 110 0 6 0 8 0 
0 0 0 22 1 0 0 115 0 17 0 11 0 
0 0 0 23 1 0 0 120 0 1 0 13 0 
0 0 0 24 1 0 0 125 0 18 0 14 0 
0 0 0 25 0 0 0 130 0 5 0 14 0 
0 0 0 26 1 0 0 135 0 16 0 11 0 
0 0 0 27 1 0 0 140 0 15 0 10 0 
0 0 0 28 1 0 0 145 0 15 0 4 0 
0 0 0 29 1 0 0 150 0 10 0 11 0 
3 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
3 0 1 1 7025 
1 2 1 0 2 0 0 5 1 6 0 5 0 
0 0 0 1 1 0 0 34 0 15 345 8 398 
0 0 0 2 1 0 0 36 0 3 345 14 398 
1 2 1 3 0 0 0 20 1 15 0 12 0 
1 2 1 4 0 0 0 25 1 19 0 11 0 
1 2 1 5 0 0 0 30 1 2 0 11 0 
0 0 0 6 2 135 0 35 1 15 0 6 0 
0 0 0 7 2 157 0 40 1 2 0 3 0 
0 0 0 8 1 0 0 45 0 10 0 11 0 
0 0 0 9 2 0 0 50 0 15 0 9 0 
0 0 0 10 2 0 0 55 0 19 0 11 0 
0 0 0 11 1 0 0 60 0 19 0 7 0 
0 0 0 12 1 0 0 65 0 10 0 11 0 
0 0 0 13 1 0 0 70 0 18 0 3 0 
0 0 0 14 2 0 0 75 0 20 0 11 0 
0 0 0 15 2 0 0 80 0 19 0 7 0 
0 0 0 16 2 0 0 85 0 19 0 14 0 
0 0 0 17 2 0 0 90 0 12 0 3 0 
0 0 0 18 1 0 0 95 0 2 0 11 0 
0 0 0 19 2 0 0 100 0 15 0 3 0 
0 0 0 20 2 0 0 105 0 20 0 5 0 
0 0 0 21 1 0 0 110 0 6 0 8 0 
0 0 0 22 1 0 0 115 0 17 0 11 0 
0 0 0 23 1 0 0 120 0 1 0 13 0 
0 0 0 24 1 0 0 125 0 18 0 14 0 
0 0 0 25 0 0 0 130 0 5 0 14 0 
0 0 0 26 1 0 0 135 0 16 0 11 0 
0 0 0 27 1 0 0 140 0 15 0 10 0 
0 0 0 28 1 0 0 145 0 15 0 4 0 
0 0 0 29 1 0 0 150 0 10 0 11 0 
3 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1 0 2 1 6715 
1 2 1 0 2 0 0 5 1 6 0 5 0 
1 2 1 1 1 0 0 34 1 15 345 8 398 
0 0 0 2 1 125 0 36 1 3 345 14 398 
1 2 1 3 0 0 0 20 1 15 0 12 0 
1 2 1 4 0 0 0 25 1 19 0 11 0 
0 0 0 5 0 0 0 37 0 5 0 3 0 
0 1 0 6 2 13 0 35 1 15 0 6 0 
0 0 0 7 2 28 0 40 1 2 0 3 0 
0 0 0 8 1 0 0 45 0 10 0 11 0 
0 0 0 9 2 0 0 50 0 15 0 9 0 
0 0 0 10 2 0 0 55 0 19 0 11 0 
0 0 0 11 1 0 0 60 0 19 0 7 0 
0 0 0 12 1 0 0 65 0 10 0 11 0 
0 0 0 13 1 0 0 70 0 18 0 3 0 
0 0 0 14 2 0 0 75 0 20 0 11 0 
0 0 0 15 2 0 0 80 0 19 0 7 0 
0 0 0 16 2 0 0 85 0 19 0 14 0 
0 0 0 17 2 0 0 90 0 12 0 3 0 
0 0 0 18 1 0 0 95 0 2 0 11 0 
0 0 0 19 2 0 0 100 0 15 0 3 0 
0 0 0 20 2 0 0 105 0 20 0 5 0 
0 0 0 21 1 0 0 110 0 6 0 8 0 
0 0 0 22 1 0 0 115 0 17 0 11 0 
0 0 0 23 1 0 0 120 0 1 0 13 0 
0 0 0 24 1 0 0 125 0 18 0 14 0 
0 0 0 25 0 0 0 130 0 5 0 14 0 
0 0 0 26 1 0 0 135 0 16 0 11 0 
0 0 0 27 1 0 0 140 0 15 0 10 0 
0 0 0 28 1 0 0 145 0 15 0 4 0 
0 0 0 29 1 0 0 150 0 10 0 11 0 
3 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1 1 1 1 6587 
1 2 1 0 2 0 0 5 1 6 0 5 0 
1 2 1 1 1 0 0 34 1 15 345 8 398 
1 2 1 2 1 0 0 36 1 3 345 14 398 
0 0 0 3 0 0 0 38 0 1 0 7 0 
1 2 1 4 0 0 0 25 1 19 0 11 0 
0 1 0 5 0 45 0 37 1 5 0 3 0 
0 2 1 6 2 0 0 35 1 15 0 6 0 
0 0 0 7 2 254 0 40 1 2 0 3 0 
0 0 0 8 1 140 0 45 1 10 0 11 0 
0 0 0 9 2 0 0 50 0 15 0 9 0 
0 0 0 10 2 0 0 55 0 19 0 11 0 
0 0 0 11 1 0 0 60 0 19 0 7 0 
0 0 0 12 1 0 0 65 0 10 0 11 0 
0 0 0 13 1 0 0 70 0 18 0 3 0 
0 0 0 14 2 0 0 75 0 20 0 11 0 
0 0 0 15 2 0 0 80 0 19 0 7 0 
0 0 0 16 2 0 0 85 0 19 0 14 0 
0 0 0 17 2 0 0 90 0 12 0 3 0 
0 0 0 18 1 0 0 95 0 2 0 11 0 
0 0 0 19 2 0 0 100 0 15 0 3 0 
0 0 0 20 2 0 0 105 0 20 0 5 0 
0 0 0 21 1 0 0 110 0 6 0 8 0 
0 0 0 22 1 0 0 115 0 17 0 11 0 
0 0 0 23 1 0 0 120 0 1 0 13 0 
0 0 0 24 1 0 0 125 0 18 0 14 0 
0 0 0 25 0 0 0 130 0 5 0 14 0 
0 0 0 26 1 0 0 135 0 16 0 11 0 
0 0 0 27 1 0 0 140 0 15 0 10 0 
0 0 0 28 1 0 0 145 0 15 0 4 0 
0 0 0 29 1 0 0 150 0 10 0 11 0 
3 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
4 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 1 1 2 6355 
1 2 1 0 2 0 0 5 1 6 0 5 0 
1 2 1 1 1 0 0 34 1 15 345 8 398 
1 2 1 2 1 0 0 36 1 3 345 14 398 
1 2 1 3 0 0 0 38 1 1 0 7 0 
1 2 1 4 0 0 0 25 1 19 0 11 0 
1 2 1 5 0 0 0 37 1 5 0 3 0 
0 2 1 6 2 0 0 35 1 15 0 6 0 
0 1 0 7 2 77 0 40 1 2 0 3 0 
0 0 0 8 1 209 0 45 1 10 0 11 0 
0 0 0 9 2 0 0 50 0 15 0 9 0 
0 0 0 10 2 0 0 55 0 19 0 11 0 
0 0 0 11 1 0 0 60 0 19 0 7 0 
0 0 0 12 1 0 0 65 0 10 0 11 0 
0 0 0 13 1 0 0 70 0 18 0 3 0 
0 0 0 14 2 0 0 75 0 20 0 11 0 
0 0 0 15 2 0 0 80 0 19 0 7 0 
0 0 0 16 2 0 0 85 0 19 0 14 0 
0 0 0 17 2 0 0 90 0 12 0 3 0 
0 0 0 18 1 0 0 95 0 2 0 11 0 
0 0 0 19 2 0 0 100 0 15 0 3 0 
0 0 0 20 2 0 0 105 0 20 0 5 0 
0 0 0 21 1 0 0 110 0 6 0 8 0 
0 0 0 22 1 0 0 115 0 17 0 11 0 
0 0 0 23 1 0 0 120 0 1 0 13 0 
0 0 0 24 1 0 0 125 0 18 0 14 0 
0 0 0 25 0 0 0 130 0 5 0 14 0 
0 0 0 26 1 0 0 135 0 16 0 11 0 
0 0 0 27 1 0 0 140 0 15 0 10 0 
0 0 0 28 1 0 0 145 0 15 0 4 0 
0 0 0 29 1 0 0 150 0 10 0 11 0 
3 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
4 2 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 2 1 3 6023 
0 0 0 0 2 0 0 43 0 4 0 14 0 
1 2 1 1 1 0 0 34 1 15 345 8 398 
1 2 1 2 1 0 0 36 1 3 345 14 398 
1 2 1 3 0 0 0 38 1 1 0 7 0 
1 2 1 4 0 0 0 25 1 19 0 11 0 
